,Player,My Move,Opponent Move
761,1.0,Ke2,Qxh3
762,1.0,Rh1,Qg2+
763,0.0,,d4
764,0.0,Nf6,Bf4
765,0.0,d5,e3
766,0.0,e6,Nf3
767,0.0,Nc6,Bb5
768,0.0,Bd7,c3
769,0.0,Be7,Nbd2
770,0.0,a6,Bxc6
771,0.0,Bxc6,Ne5
772,0.0,Bd7,Qf3
773,0.0,b6,Qg3
774,0.0,a5,a4
775,0.0,g6,Bh6
776,0.0,Nh5,Qf3
777,0.0,g5,Qxf7#
778,1.0,Nc3,e5
779,1.0,e4,Nf6
780,1.0,d3,Bb4
781,1.0,Nf3,d6
782,1.0,Bd2,Bg4
783,1.0,a3,Bc5
784,1.0,h3,Bh5
785,1.0,Be2,O-O
786,1.0,Nd5,Nxd5
787,1.0,exd5,Qf6
788,1.0,c4,Nd7
789,1.0,b4,a6
790,1.0,bxc5,Nxc5
791,1.0,Bg5,Qf5
792,1.0,g4,Bxg4
793,1.0,hxg4,Qxg4
794,1.0,Be7,Rfe8
795,1.0,Bh4,Qg2
796,1.0,Kd2,Nb3+
797,1.0,Kc2,Nxa1+
798,1.0,Qxa1,Qxf2
799,1.0,Re1,Qb6
800,1.0,Ng5,f6
801,1.0,Ne6,c5
802,1.0,Rg1,g5
803,1.0,Bf2,f5
804,1.0,Rxg5+,Kf7
805,1.0,Rxf5+,Ke7
806,1.0,Bh4+,Kd7
807,1.0,Rf7+,Kc8
808,1.0,Bg4,Kb8
809,1.0,Nc7,Ka7
810,1.0,Nxe8,Rxe8
811,1.0,Qd1,Rg8
812,1.0,Rxh7,Qa5
813,1.0,Bc8,Qa4+
814,1.0,Kd2,Rg2+
815,1.0,Ke1,Rg1+
816,1.0,Ke2,Qxd1+
817,1.0,Ke3,Qc1+
818,1.0,Ke4,Rg4+
819,1.0,Bxg4,Qxa3
820,1.0,Bc8,Kb8
821,1.0,Bxb7,a5
822,1.0,Bc6,Qc3
823,1.0,Rh8+,Kc7
824,1.0,Bd8+,Kc8
825,1.0,Bxa5#,1-0
826,1.0,Nc3,c5
827,1.0,Nf3,e6
828,1.0,e4,Nc6
829,1.0,d3,Qc7
830,1.0,Bd2,Nf6
831,1.0,Be2,Ne5
832,1.0,h3,Nxf3+
833,1.0,Bxf3,Be7
834,1.0,a3,O-O
835,1.0,O-O,b6
836,1.0,e5,Nd5
837,1.0,Bxd5,exd5
838,1.0,f4,Bb7
839,1.0,g3,d4
840,1.0,Ne4,Bxe4
841,1.0,dxe4,Qc6
842,1.0,Qf3,h6
843,1.0,Kf2,Qb5
844,1.0,Rh1,Qxb2
845,1.0,h4,Qb5
846,1.0,g4,Qc6
847,1.0,g5,hxg5
848,1.0,hxg5,Rfc8
849,1.0,Qh5,f6
850,1.0,Qh8+,Kf7
851,1.0,Qh5+,Ke6
852,1.0,Qg4+,Kf7
853,1.0,Qh5+,Ke6
854,1.0,Qg6,Qxe4
855,1.0,Qxe4,1-0
856,0.0,,e4
857,0.0,Nf6,d3
858,0.0,e5,Bg5
859,0.0,d6,Nc3
860,0.0,Be7,g3
861,0.0,h6,Be3
862,0.0,a6,Bg2
863,0.0,Bd7,Nge2
864,0.0,Nc6,O-O
865,0.0,g5,Nd5
866,0.0,Nxd5,exd5
867,0.0,Nd4,Nxd4
868,0.0,exd4,Bxd4
869,0.0,c5,Bxh8
870,0.0,f6,Qh5+
871,0.0,Kf8,Qxh6+
872,0.0,Kf7,Qg7+
873,0.0,Ke8,Qg6+
874,0.0,Kf8,Bg7+
875,0.0,Kg8,Bxf6+
876,0.0,Kf8,Bg7+
877,0.0,Kg8,Bh6+
878,0.0,Kh8,Qg7#
879,0.0,,e4
880,0.0,Nf6,e5
881,0.0,Ng4,Qxg4
882,0.0,d6,Qg3
883,0.0,dxe5,Qxe5
884,0.0,f6,Qh5+
885,0.0,g6,Qd1
886,0.0,h5,d3
887,0.0,Bg4,f3
888,0.0,Bf5,Nc3
889,0.0,e5,Nge2
890,0.0,Bb4,a3
891,0.0,Bxc3+,Nxc3
892,0.0,Nc6,Be3
893,0.0,a6,h3
894,0.0,Qd7,g3
895,0.0,O-O-O,Ke2
896,0.0,Kb8,Ne4
897,0.0,Bxe4,fxe4
898,0.0,Nd4+,Bxd4
899,0.0,Qxd4,c3
900,0.0,Qd7,Kf3
901,0.0,c6,Qd2
